Date,BRD.RO,DIGI.RO,FP.RO,M.RO,SFG.RO,SNG.RO,SNP.RO,TGN.RO,TLV.RO,WINE.RO
2001-05-14 00:00:00+00:00,25854.3046875,,,,,,,,,
2001-05-15 00:00:00+00:00,26031.384765625,,,,,,,,,
2001-05-16 00:00:00+00:00,26031.384765625,,,,,,,,,
2001-05-17 00:00:00+00:00,26562.642578125,,,,,,,,,
2001-05-18 00:00:00+00:00,27979.310546875,,,,,,,,,
2001-05-21 00:00:00+00:00,26739.724609375,,,,,,,,,
2001-05-22 00:00:00+00:00,27270.9765625,,,,,,,,,
2001-05-23 00:00:00+00:00,26739.724609375,,,,,,,,,
2001-05-24 00:00:00+00:00,26916.80859375,,,,,,,,,
2001-05-25 00:00:00+00:00,27093.89453125,,,,,,,,,
2001-05-28 00:00:00+00:00,27270.9765625,,,,,,,,,
2001-05-29 00:00:00+00:00,26739.724609375,,,,,,,,,
2001-05-30 00:00:00+00:00,27448.0625,,,,,,,,,
2001-05-31 00:00:00+00:00,27093.89453125,,,,,,,,,
2001-06-01 00:00:00+00:00,26916.80859375,,,,,,,,,
2001-06-04 00:00:00+00:00,27270.9765625,,,,,,,,,
2001-06-05 00:00:00+00:00,27270.9765625,,,,,,,,,
2001-06-06 00:00:00+00:00,27448.0625,,,,,,,,,
2001-06-07 00:00:00+00:00,27270.9765625,,,,,,,,,
2001-06-08 00:00:00+00:00,27093.89453125,,,,,,,,,
2001-06-11 00:00:00+00:00,26739.724609375,,,,,,,,,
2001-06-12 00:00:00+00:00,26739.724609375,,,,,,,,,
2001-06-13 00:00:00+00:00,27448.0625,,,,,,,,,
2001-06-14 00:00:00+00:00,27448.0625,,,,,,,,,
2001-06-15 00:00:00+00:00,27448.0625,,,,,,,,,
2001-06-18 00:00:00+00:00,27802.232421875,,,,,,,,,
2001-06-19 00:00:00+00:00,27802.232421875,,,,,,,,,
2001-06-20 00:00:00+00:00,28333.482421875,,,,,,,,,
2001-06-21 00:00:00+00:00,28156.400390625,,,,,,,,,
2001-06-22 00:00:00+00:00,28687.65234375,,,,,,,,,
2001-06-25 00:00:00+00:00,29041.826171875,,,,,,,,,
2001-06-26 00:00:00+00:00,28333.482421875,,,,,,,,,
2001-06-27 00:00:00+00:00,29218.904296875,,,,,,,,,
2001-06-28 00:00:00+00:00,29218.904296875,,,,,,,,,
2001-06-29 00:00:00+00:00,28864.736328125,,,,,,,,,
2001-07-02 00:00:00+00:00,28864.736328125,,,,,,,,,
2001-07-03 00:00:00+00:00,28864.736328125,,,,,,,,,
2001-07-04 00:00:00+00:00,28864.736328125,,,,,,,,,
2001-07-05 00:00:00+00:00,28864.736328125,,,,,,,,,
2001-07-06 00:00:00+00:00,28864.736328125,,,,,,,,,
2001-07-09 00:00:00+00:00,28687.65234375,,,,,,,,,
2001-07-10 00:00:00+00:00,28864.736328125,,,,,,,,,
2001-07-11 00:00:00+00:00,29218.904296875,,,,,,,,,
2001-07-12 00:00:00+00:00,28864.736328125,,,,,,,,,
2001-07-13 00:00:00+00:00,28864.736328125,,,,,,,,,
2001-07-16 00:00:00+00:00,29218.904296875,,,,,,,,,
2001-07-17 00:00:00+00:00,29395.98828125,,,,,,,,,
2001-07-18 00:00:00+00:00,29395.98828125,,,,,,,,,
2001-07-19 00:00:00+00:00,30458.498046875,,,,,,,,,
2001-07-20 00:00:00+00:00,32583.505859375,,,,,,,,,
2001-07-23 00:00:00+00:00,32937.6796875,,,,,,,,,
