Date,0001.HK,0005.HK,0016.HK,0027.HK,0083.HK,0267.HK,0388.HK,0700.HK,0941.HK,1299.HK
2000-01-03 00:00:00+00:00,,46.00267791748047,,,,,,,,
2000-01-04 00:00:00+00:00,24.67115592956543,45.15077209472656,35.8802490234375,0.5503215193748474,1.606576919555664,9.945525169372559,,,21.055315017700195,
2000-01-05 00:00:00+00:00,22.97187042236328,42.80805969238281,33.53093719482422,0.524115800857544,1.4976565837860107,11.800908088684082,,,18.174057006835938,
2000-01-06 00:00:00+00:00,21.839019775390625,41.31719207763672,31.822364807128906,0.5066450834274292,1.4885797500610352,11.299456596374512,,,16.88454246520996,
2000-01-07 00:00:00+00:00,22.279565811157227,42.80805969238281,31.929155349731445,0.524115800857544,1.4795031547546387,11.065443992614746,,,16.844247817993164,
2000-01-10 00:00:00+00:00,22.468374252319336,42.5950813293457,32.14272689819336,0.5153804421424866,1.4976565837860107,10.998579978942871,,,18.9397029876709,
2000-01-11 00:00:00+00:00,23.03481101989746,41.743160247802734,30.86128044128418,0.524115800857544,1.4795031547546387,11.366316795349121,,,19.46356964111328,
2000-01-12 00:00:00+00:00,22.657188415527344,40.99774932861328,31.715574264526367,0.532850980758667,1.4704266786575317,11.500036239624023,,,18.980003356933594,
2000-01-13 00:00:00+00:00,22.342506408691406,41.21072769165039,32.14272689819336,0.5415862798690796,1.452272891998291,11.366316795349121,,,18.33524513244629,
2000-01-14 00:00:00+00:00,22.02781867980957,41.21072769165039,32.249507904052734,0.532850980758667,1.4704266786575317,11.23259449005127,,,17.569597244262695,
2000-01-17 00:00:00+00:00,22.279565811157227,41.1042366027832,32.46307373046875,0.532850980758667,1.4613498449325562,11.332884788513184,,,18.012876510620117,
2000-01-18 00:00:00+00:00,23.412425994873047,40.89126205444336,31.822364807128906,0.532850980758667,1.4795031547546387,11.13230037689209,,,19.020296096801758,
2000-01-19 00:00:00+00:00,23.16069221496582,39.71990203857422,30.968063354492188,0.5153804421424866,1.452272891998291,11.23259449005127,,,18.13376235961914,
2000-01-20 00:00:00+00:00,23.097747802734375,38.9744873046875,30.540912628173828,0.5153804421424866,1.452272891998291,11.199161529541016,,,17.8516788482666,
2000-01-21 00:00:00+00:00,23.223613739013672,38.54853820800781,30.540912628173828,0.5153804421424866,1.452272891998291,11.199161529541016,,,18.053171157836914,
2000-01-24 00:00:00+00:00,23.538305282592773,39.506927490234375,30.434131622314453,0.5153804421424866,1.452272891998291,10.998579978942871,,,17.609895706176758,
2000-01-25 00:00:00+00:00,23.852985382080078,38.54853820800781,30.113765716552734,0.5153804421424866,1.4159659147262573,10.764568328857422,,,18.093467712402344,
2000-01-26 00:00:00+00:00,24.67115592956543,38.867984771728516,31.608787536621094,0.5153804421424866,1.434119701385498,10.898290634155273,,,18.697925567626953,
2000-01-27 00:00:00+00:00,25.678150177001953,39.506927490234375,32.35630416870117,0.524115800857544,1.4704266786575317,10.931721687316895,,,20.249366760253906,
2000-01-28 00:00:00+00:00,25.804019927978516,40.35881805419922,32.249507904052734,0.5765273571014404,1.5248860120773315,10.86485767364502,,,20.95456886291504,
2000-01-31 00:00:00+00:00,24.608219146728516,39.2939338684082,30.86128044128418,0.5415862798690796,1.4704266786575317,11.065443992614746,,,19.382972717285156,
2000-02-01 00:00:00+00:00,24.922908782958984,39.18745422363281,30.754497528076172,0.5503215193748474,1.443196415901184,11.7006196975708,,,19.665054321289062,
2000-02-02 00:00:00+00:00,25.678150177001953,38.9744873046875,31.074848175048828,0.5765273571014404,1.4159659147262573,12.1686429977417,,,20.06802749633789,
2000-02-03 00:00:00+00:00,25.804019927978516,38.867984771728516,32.03591537475586,0.5765273571014404,1.452272891998291,12.736954689025879,,,21.15606117248535,
2000-02-04 00:00:00+00:00,25.804019927978516,38.867984771728516,32.03591537475586,0.5765273571014404,1.452272891998291,12.736954689025879,,,21.15606117248535,
2000-02-07 00:00:00+00:00,25.804019927978516,38.867984771728516,32.03591537475586,0.5765273571014404,1.452272891998291,12.736954689025879,,,21.15606117248535,
2000-02-08 00:00:00+00:00,26.433382034301758,37.90962219238281,30.968063354492188,0.5503215193748474,1.434119701385498,13.438995361328125,,,24.17835235595703,
2000-02-09 00:00:00+00:00,27.314495086669922,38.655033111572266,32.14272689819336,0.532850980758667,1.4250426292419434,13.67301082611084,,,25.8909854888916,
2000-02-10 00:00:00+00:00,28.19561195373535,38.22905731201172,31.288423538208008,0.5415862798690796,1.3978129625320435,14.274748802185059,,,25.68949317932129,
2000-02-11 00:00:00+00:00,30.46131706237793,38.44203186035156,31.822364807128906,0.532850980758667,1.4068900346755981,14.17446231842041,,,27.099897384643555,
2000-02-14 00:00:00+00:00,28.824983596801758,37.27067565917969,30.647695541381836,0.524115800857544,1.370582103729248,13.63957691192627,,,26.596181869506836,
2000-02-15 00:00:00+00:00,27.314495086669922,37.377159118652344,30.32735252380371,0.524115800857544,1.3615058660507202,13.50585651397705,,,25.588754653930664,
2000-02-16 00:00:00+00:00,27.44036865234375,39.40044021606445,31.501998901367188,0.5415862798690796,1.4159659147262573,13.138127326965332,,,25.18577766418457,
2000-02-17 00:00:00+00:00,26.936874389648438,39.613407135009766,31.608787536621094,0.5765273571014404,1.4068900346755981,12.97097396850586,,,24.58132553100586,
2000-02-18 00:00:00+00:00,26.181636810302734,38.867984771728516,30.754497528076172,0.55905681848526,1.3887357711791992,13.071261405944824,,,23.57388687133789,
2000-02-21 00:00:00+00:00,25.552270889282227,38.122581481933594,30.434131622314453,0.5765273571014404,1.370582103729248,13.004405975341797,,,23.37240219116211,
