Date,ELCO.TA,ICL.TA,NICE.TA,ORL.TA,PTNR.TA,TEVA.TA
2002-08-12 00:00:00+00:00,2534.014404296875,160.32427978515625,2524.994384765625,,1237.206298828125,6240.5126953125
2002-08-13 00:00:00+00:00,2541.359130859375,159.98678588867188,2500.336181640625,,1235.516357421875,6377.44775390625
2002-08-14 00:00:00+00:00,2517.12109375,158.87269592285156,2529.926025390625,,1214.670654296875,6431.81884765625
2002-08-15 00:00:00+00:00,2528.872802734375,160.8982391357422,2505.267578125,,1211.85400390625,6407.65478515625
2002-08-18 00:00:00+00:00,2500.9609375,160.8982391357422,2529.926025390625,,1223.68505859375,6399.59912109375
2002-08-19 00:00:00+00:00,2528.872802734375,164.9832000732422,2539.78955078125,,1238.8963623046875,6407.65478515625
2002-08-20 00:00:00+00:00,2522.262451171875,164.6455841064453,2544.721435546875,,1240.5867919921875,6399.59912109375
2002-08-21 00:00:00+00:00,2554.57958984375,164.54428100585938,2603.900390625,,1240.0233154296875,6391.54248046875
2002-08-22 00:00:00+00:00,2578.083984375,163.76785278320312,2643.353271484375,,1237.77001953125,6281.2431640625
2002-08-25 00:00:00+00:00,2662.55078125,163.76785278320312,2594.03759765625,,1236.642822265625,6281.2431640625
2002-08-26 00:00:00+00:00,2753.629150390625,174.53712463378906,2613.763916015625,,1246.220703125,6295.3583984375
2002-08-27 00:00:00+00:00,2782.274169921875,175.88751220703125,2608.832275390625,,1237.77001953125,6293.34326171875
2002-08-28 00:00:00+00:00,2810.184814453125,175.5499267578125,2598.968994140625,,1246.220703125,6200.5849609375
2002-08-29 00:00:00+00:00,2796.9638671875,172.17391967773438,2559.515625,,1222.5579833984375,6146.14111328125
2002-09-01 00:00:00+00:00,2769.05322265625,172.17391967773438,2534.858154296875,,1201.712646484375,6220.75
2002-09-02 00:00:00+00:00,2747.017822265625,171.1611328125,2529.926025390625,,1194.388671875,6234.8662109375
2002-09-03 00:00:00+00:00,2717.638427734375,170.14834594726562,2505.267578125,,1201.712646484375,6172.35546875
2002-09-04 00:00:00+00:00,2650.064208984375,169.1356201171875,2539.78955078125,,1200.5859375,6204.61865234375
2002-09-05 00:00:00+00:00,2680.91357421875,168.79798889160156,2589.105712890625,,1184.8111572265625,6222.76611328125
2002-09-08 00:00:00+00:00,2680.91357421875,168.79798889160156,2589.105712890625,,1184.8111572265625,6222.76611328125
2002-09-09 00:00:00+00:00,2680.91357421875,169.47320556640625,2559.515625,,1177.4866943359375,6295.3583984375
2002-09-10 00:00:00+00:00,2713.96630859375,172.17391967773438,2579.242431640625,,1204.5296630859375,6408.279296875
2002-09-11 00:00:00+00:00,2718.372314453125,171.8363800048828,2554.584716796875,,1223.1217041015625,6394.1650390625
2002-09-12 00:00:00+00:00,2722.779296875,171.1611328125,2520.0625,,1228.192138671875,6382.06494140625
2002-09-15 00:00:00+00:00,2722.779296875,171.1611328125,2520.0625,,1228.192138671875,
2002-09-16 00:00:00+00:00,2723.51416015625,171.1611328125,2520.0625,,1228.192138671875,6577.66259765625
2002-09-17 00:00:00+00:00,2723.51416015625,173.86190795898438,2544.721435546875,,1231.00927734375,6577.66259765625
2002-09-18 00:00:00+00:00,2702.9482421875,171.1611328125,2465.81494140625,,1189.318359375,6525.23388671875
2002-09-19 00:00:00+00:00,2653.7373046875,170.48602294921875,2395.78564453125,,1182.5574951171875,6521.2021484375
2002-09-22 00:00:00+00:00,2644.188720703125,170.48602294921875,2272.494873046875,,1157.768310546875,6527.24951171875
2002-09-23 00:00:00+00:00,2644.188720703125,168.02149963378906,2241.9189453125,,1163.4022216796875,6537.33251953125
2002-09-24 00:00:00+00:00,2571.47314453125,166.36740112304688,2102.35400390625,,1149.3173828125,6557.49755859375
2002-09-25 00:00:00+00:00,2504.6337890625,166.6036376953125,2016.05029296875,,1128.4720458984375,6650.25390625
2002-09-26 00:00:00+00:00,2423.839599609375,168.494140625,2077.69580078125,,1136.359375,6672.4365234375
2002-09-29 00:00:00+00:00,2434.857177734375,168.494140625,1997.803466796875,,1119.457763671875,6573.62939453125
2002-09-30 00:00:00+00:00,2419.43310546875,166.09725952148438,2012.598388671875,,1108.1895751953125,6565.56494140625
2002-10-01 00:00:00+00:00,2326.15087890625,161.84349060058594,2005.6937255859375,,1122.274658203125,6587.74560546875
2002-10-02 00:00:00+00:00,2373.893798828125,160.86451721191406,1930.733154296875,,1132.4156494140625,6662.35400390625
2002-10-03 00:00:00+00:00,2326.15087890625,159.27774047851562,1805.4698486328125,,1121.711181640625,6646.2197265625
2002-10-06 00:00:00+00:00,2279.143798828125,159.27774047851562,1714.23486328125,,1100.865966796875,6482.8896484375
2002-10-07 00:00:00+00:00,2275.470947265625,163.39645385742188,1676.75390625,,1094.10498046875,6539.35009765625
2002-10-08 00:00:00+00:00,2247.56005859375,163.1939697265625,1768.4822998046875,,1104.8094482421875,6444.5771484375
2002-10-09 00:00:00+00:00,2236.54296875,163.66661071777344,1724.5911865234375,,1105.3729248046875,6416.345703125
2002-10-10 00:00:00+00:00,2238.011962890625,163.8015594482422,1676.75390625,,1111.5701904296875,6462.724609375
2002-10-13 00:00:00+00:00,2269.594970703125,163.8015594482422,1658.5068359375,,1140.3033447265625,6464.7412109375
2002-10-14 00:00:00+00:00,2269.594970703125,161.5734100341797,1579.10791015625,,1147.6273193359375,6438.52734375
2002-10-15 00:00:00+00:00,2315.1337890625,163.70028686523438,1699.9329833984375,,1160.0218505859375,6507.08544921875
